,content,target
182,"موضوع:INQUIRY در مورد تخفیف‌های سفارش عمده\n\nسلام تیم فروش,\n\nمن از طرف خرده‌فروشان ABC با شما تماس می‌گیرم و علاقه‌مند به خرید عمده محصولات شما برای فروشگاه‌هایمان هستیم. به‌طور خاص, ما در حال بررسی سری Model X شما هستیم و می‌خواهیم بدانیم که آیا برای سفارش‌های بالای ۵۰۰ واحد تخفیف حجمی ارائه می‌دهید یا خیر. آیا می‌توانید لیست قیمت و هرگونه پیشنهاد ویژه موجود را ارائه دهید؟\n\nما همچنین علاقه‌مند به شرایط حمل و نقل, زمان تحویل و اینکه آیا از ارسال‌های بین‌المللی به کانادا SUPPORT می‌کنید, هستیم. در صورت امکان, لطفاً هرگونه الزامات MOQ (حداقل مقدار سفارش) و سیاست‌های نمونه را ذکر کنید. ما این ماه در حال ارزیابیSUPPLIER هستیم و از پاسخ سریع شما برای کمک به فرآیند تصمیم‌گیری قدردانی می‌کنیم.\n\nمشتاقانه منتظر پاسخ شما هستیم.\n\nبا احترام,\nلیزا جانسون\nمدیر تدارکات\nخرده‌فروشان ABC",INQUIRY
183,"موضوع: فوری: هشدار امنیتی حساب شما!\n\nمشتری گرامی,\n\nما فعالیت مشکوکی را در حساب شما شناسایی کرده‌ایم! برای امنیت شما, دسترسی را به طور موقت محدود کرده‌ایم. برای تأیید هویت و بازیابی دسترسی, لطفاً ظرف 24 ساعت آینده روی لینک زیر کلیک کنید:\n\n[لینک مخرب حذف شد]\n\nعدم اقدام ممکن است منجر به تعلیق دائمی حساب شود. این یک پیام خودکار است - به این ایمیل پاسخ ندهید. اگر شما این درخواست را شروع نکرده‌اید, فوراً با تیم SUPPORT ما از طریق [ایمیل SUPPORT جعلی] تماس بگیرید.\n\nاز همکاری شما متشکریم.\n\nتیم امنیتی\n[نام شرکت جعلی]",SPAM
184,"3""موضوع: فرصت همکاری - تامین تجهیزات صنعتی\n\nتیم تدارکات عزیز\n\nامیدوارم حال شما خوب باشد. ما XYZ Industrial Supplies\n تولیدکننده و توزیع‌کننده پیشرو قطعات ماشین‌آلات صنعتی با کیفیت بالا",SUPPLIER
185,"موضوع: مشکل فنی - برنامه هنگام ورود به سیستم خراب می‌شود\n\nسلام SUPPORT,\n\nمن چندین ماه است که بدون مشکل از برنامه تلفن همراه شما استفاده می‌کنم, اما پس از آخرین به‌روزرسانی (نسخه 3.2.0), بلافاصله پس از اجرا خراب می‌شود. من نصب مجدد, پاک کردن حافظه پنهان و راه‌اندازی مجدد دستگاهم (آیفون 14, iOS 16.5) را امتحان کرده‌ام, اما مشکل همچنان ادامه دارد. این مشکل بر دسترسی من به ویژگی‌های مهم حساب تأثیر می‌گذارد.\n\nآیا می‌توانید لطفاً این موضوع را به تیم فنی خود اطلاع دهید؟ اگر مشکل شناخته‌شده‌ای وجود دارد, آیا جدول زمانی تقریبی برای رفع آن وجود دارد؟ از طرف دیگر, آیا راه‌حلی مانند بازگشت به نسخه قبلی وجود دارد؟ من یک ضبط صفحه از خرابی را برای مرجع پیوست کرده‌ام.\n\nاز کمک شما متشکرم.\n\nبا احترام,\nسارا ویلیامز",SUPPORT
186,"موضوع: درخواست مشخصات محصول\n\nخدمات مشتریان گرامی,\n\nمن به مدل Z-2000 شما علاقه‌مند هستم اما قبل از خرید به جزئیات بیشتری نیاز دارم. به طور خاص, می‌خواهم بدانم:\n- ابعاد و وزن\n- الزامات برق (ولتاژ, وات)\n- سازگاری با لوازم جانبی شخص ثالث\n- شرایط گارانتی\n\nعلاوه بر این, آیا گزینه‌های گارانتی طولانی مدت ارائه می‌دهید؟ من نتوانستم این اطلاعات را در وب‌سایت شما پیدا کنم. در صورت امکان, لطفاً دفترچه‌های راهنمای کاربر یا راهنمای نصب را نیز برای بررسی به اشتراک بگذارید.\n\nمشتاقانه منتظر پاسخ شما هستم.\n\nبا آرزوی بهترین‌ها,\nدیوید لی",INQUIRY
187,"موضوع: شما یک جایزه 10,000 دلاری برنده شده‌اید!\n\nتبریک می‌گوییم!\n\nشما به عنوان برنده جایزه بزرگ سالانه ما انتخاب شده‌اید! برای دریافت جایزه نقدی 10,000 دلاری خود, کافیست روی لینک زیر کلیک کنید و فرم تأیید را ظرف 24 ساعت تکمیل کنید:\n\n[لینک جعلی حذف شد]\n\nاین یک پیشنهاد با مدت زمان محدود است - عدم پاسخ منجر به از دست دادن جایزه شما خواهد شد. نیازی به خرید نیست. ممکن است مالیات و هزینه اعمال شود. این ایمیل به دلیل عضویت شما در لیست پستی ما برای شما ارسال شده است. برای لغو اشتراک, اینجا را کلیک کنید [لینک لغو اشتراک جعلی].\n\nبخش بازخرید جایزه\n[شرکت جعلی]",SPAM
188,"7""موضوع:INQUIRY عمده فروشی مبلمان اداری\n\nسلام\n\nما شرکت راهکارهای اداری هستیم میز و راهکارهای انبارداری را برای مشتریان شرکتی و موسسات آموزشی عرضه می‌کنیم. محصولات ما دارای گواهینامه BIFMA هستند و دارای 5 سال گارانتی می‌باشند.\n\nما مایلیم کاتالوگ خود را معرفی کنیم و در مورد قیمت گذاری عمده بالقوه برای سازمان شما بحث کنیم. ویژگی‌های کلیدی عبارتند از:\n- گزینه‌های برندسازی سفارشی\n- مواد سازگار با محیط زیست\n- زمان تحویل سریع (2-3 هفته برای سفارشات بزرگ)\n\nآیا می‌توانید فرآیند خرید و هرگونه مناقصه آینده خود را به اشتراک بگذارید؟ ما خوشحال خواهیم شد که در صورت درخواست نمونه ارائه دهیم.\n\nبا احترام",SUPPLIER
189,"تیم SUPPORT مشتری عزیز, من در مورد مشکلی که در سفارش اخیرم با آن مواجه شدم با شما تماس می‌گیرم. محموله دیرتر از زمان مورد انتظار به دستم رسید و برخی از اقلام در بسته‌بندی وجود نداشتند. آیا می‌توانید لطفاً در حل این مشکل به من کمک کنید؟ از پاسخ سریع شما سپاسگزارم تا بتوانم برنامه‌ریزی مناسبی داشته باشم. از توجه شما به این موضوع متشکرم.",SUPPORT
190," من در مورد صورتحساب آخرین فاکتورم سوالی دارم. متوجه برخی هزینه‌هایی شده‌ام که برایم ناآشنا هستند و می‌خواهم در مورد آنها توضیح بیشتری دریافت کنم. لطفاً جزئیات مربوط به صورتحساب و هرگونه اقدامی که باید انجام دهم را ارائه دهید. مشتاقانه منتظر پاسخ سریع شما هستم.""",INQUIRY
191," من یکSUPPLIER هستم که علاقه‌مند به ارائه محصولات به شرکت شما هستم. من کاتالوگی از اقلام شامل لوازم الکترونیکی و لوازم جانبی دارم که می‌تواند برای چرخه تدارکات بعدی شما مرتبط باشد. لطفاً روند ارائه پیشنهاد یا تنظیم جلسه برای بحث در مورد فرصت‌های بالقوه همکاری را به من اطلاع دهید."" ""SUPPLIER""",
192,"تبریک می‌گوییم! شما به عنوان برنده جایزه انحصاری ما انتخاب شده‌اید. برای دریافت جایزه خود, لطفاً روی این لینک کلیک کنید و اطلاعات شخصی خود را ارائه دهید. عجله کنید, این پیشنهاد فقط برای مدت محدودی معتبر است. این فرصت فوق‌العاده را از دست ندهید!",SPAM
193,"سلام, من علاقه‌مند به کسب اطلاعات بیشتر در مورد خدماتی هستم که شرکت شما برای رویدادهای شرکتی ارائه می‌دهد. آیا شما خدمات پذیرایی, سرگرمی یا ترتیب دادن محل برگزاری را ارائه می‌دهید؟ از دریافت بروشور اطلاعاتی یا شماره تماس برای بحث در مورد جزئیات بیشتر سپاسگزارم. پیشاپیش از کمک شما متشکرم.",INQUIRY
194,"فوری: حساب بانکی شما مورد نفوذ قرار گرفته است. ما فعالیت غیرمجاز را شناسایی کرده‌ایم و از شما می‌خواهیم فوراً اطلاعات حساب خود را تأیید کنید. برای ایمن‌سازی حساب خود و جلوگیری از هرگونه دسترسی غیرمجاز بیشتر, روی لینک زیر کلیک کنید. عدم اقدام فوری ممکن است منجر به تعلیق حساب شود.",SPAM
195,"سلام, من برای پیکربندی نرم‌افزاری که ارائه دادید به SUPPORT نیاز دارم. وقتی سعی می‌کنم کارم را ذخیره کنم, مدام از کار می‌افتد, که کاملاً مختل‌کننده است. آیا می‌توانید دستورالعمل‌های دقیقی برای من ارسال کنید یا از SUPPORT فنی بخواهید تا در حل این مشکل به من کمک کند؟ متشکرم.",SUPPORT
196,"با سلام, من یک فروشنده هستم که علاقه‌مند به تأمین مواد اولیه برای فرآیندهای تولیدی شما هستم. شرکت ما فولاد و آلومینیوم با کیفیت بالا را با قیمت‌های رقابتی ارائه می‌دهد. لطفاً در مورد رویه‌های تهیه و اینکه آیا می‌توان نمونه‌ها را برای بررسی ارسال کرد, راهنمایی کنید.",SUPPLIER
197,"سلام, می‌خواستم در مورد وضعیت تیکت SUPPORT اخیرم سوال بپرسم. هفته گذشته درخواستی ارسال کردم, اما هیچ به‌روزرسانی دریافت نکرده‌ام. لطفاً بررسی کنید و به من اطلاع دهید که چه زمانی می‌توانم انتظار پاسخ داشته باشم؟ از کمکتان متشکرم.",INQUIRY
198,"تبریک می‌گویم! شما برنده یک بسته تعطیلات رایگان به باهاما شده‌اید. برای دریافت جایزه, لطفاً اطلاعات شخصی خود را ارسال کنید. به یاد داشته باشید, این یک پیشنهاد با مدت زمان محدود است. همین حالا اقدام کنید و از یک سفر لوکس با ما لذت ببرید!",SPAM
199,"تیم SUPPORT عزیز, من در ورود به حساب کاربری‌ام با مشکل مواجه هستم. هر بار که سعی می‌کنم به پورتال دسترسی پیدا کنم, یک پیام خطا دریافت می‌کنم. حافظه پنهان مرورگرم را پاک کرده‌ام و دستگاه‌های مختلف را امتحان کرده‌ام, اما مشکل همچنان ادامه دارد. لطفاً در اسرع وقت به من کمک کنید تا دوباره دسترسی پیدا کنم.",SUPPORT
200,"سلام, می‌خواستم در مورد تخفیف‌های عمده‌ای که برای محصولات شما وجود دارد, سوال کنم. من قصد دارم تعداد زیادی برای فروشگاه‌های خرده‌فروشی خود خریداری کنم و می‌خواهم ساختار قیمت‌گذاری, زمان تحویل و فرآیند سفارش را بدانم. لطفاً جزئیات مربوطه را برای من ارسال کنید.",INQUIRY
201,"با سلام, ما یکSUPPLIER جدید هستیم که علاقه‌مند به ایجاد همکاری با شرکت شما هستیم. طیف محصولات ما شامل پلاستیک‌ها و مواد بسته‌بندی درجه یک است. لطفاً مراحل بعدی برای ثبت نام به عنوان فروشنده و ارسال نمونه‌های محصول را به ما اطلاع دهید.",SUPPLIER
202,"تبریک! شما برای دریافت اشتراک رایگان در سرویس پریمیوم ما انتخاب شده‌اید. برای فعال کردن حساب کاربری خود, لطفاً آدرس ایمیل خود را با کلیک روی لینک ارائه شده تأیید کنید. عجله کنید, این پیشنهاد تا زمان اتمام موجودی معتبر است!",SPAM
203,"سلام, من برای بازنشانی رمز عبورم به کمک نیاز دارم. اطلاعات ورود به سیستمم را فراموش کرده‌ام و نمی‌توانم به حسابم دسترسی پیدا کنم. لطفاً دستورالعمل نحوه بازیابی یا بازنشانی رمز عبورم را برای من ارسال کنید. از SUPPORT شما متشکرم.",SUPPORT
204,"عصر بخیر, من علاقه‌مند به برنامه‌ریزی یک جلسه آموزشی شرکتی برای کارکنانمان هستم. آیا می‌توانید جزئیات مربوط به ماژول‌های آموزشی, هزینه‌ها و تاریخ‌های موجود را ارائه دهید؟ ما مشتاقیم تا با کمک شما مهارت‌های تیم خود را افزایش دهیم.",INQUIRY
205,"سلام, من یکSUPPLIER هستم که علاقه‌مند به شرکت در مناقصه برای پروژه آینده شما هستم. لطفاً می‌توانید اسناد مناقصه, مهلت ارسال و معیارهای ارزیابی پیشنهادات را به اشتراک بگذارید؟ مشتاقانه منتظر پاسخ شما هستم.",SUPPLIER
206,شما یک برنده خوش شانس هستید! همین حالا با کلیک روی این لینک جایزه نقدی خود را دریافت کنید. نیازی به خرید نیست. این یک فرصت شگفت انگیز برای کسب درآمد سریع است. فوراً پاسخ دهید تا برد خود را تضمین کنید.,SPAM
207,"خدمات مشتریان گرامی, من در تلاش هستم تا اطلاعات صورتحساب خود را در وب‌سایت شما به‌روزرسانی کنم, اما مرتباً پیام‌های خطا دریافت می‌کنم. لطفاً در تکمیل این فرآیند به من کمک کنید یا اطلاعات من را به صورت دستی به‌روزرسانی کنید. از قبل از شما متشکرم.",SUPPORT
208,"سلام, می‌خواهم در مورد وضعیت سفارش اخیرم سوال کنم. قرار بود هفته گذشته برسد, اما هنوز آن را دریافت نکرده‌ام. لطفاً در مورد تحویل و هرگونه اطلاعات ردیابی موجود, به‌روزرسانی ارائه دهید.",INQUIRY
209,"سلام! من سعی کردم وارد حساب کاربری‌ام شوم و مدام گیر می‌کردم. حافظه پنهان و مرورگرهای مختلف را پاک کردم, اما موفق نشدم. می‌توانید به من کمک کنید دوباره وارد شوم؟ ممنون می‌شوم اگر سریع مشکل را حل کنید. متشکرم!",SUPPORT
210,"سلام! من کلی محصول دارم که دوست دارم به صورت عمده بخرم - مثلاً خیلی از اجناس شما. میشه در مورد تخفیف‌ها, زمان تحویل و نحوه ثبت سفارش‌های بزرگ بهم بگید؟ اگه جزئیات رو برام بفرستید عالی میشه.",INQUIRY
211,هی! ما یکSUPPLIER جدید هستیم که به دنبال همکاری با شما هستیم. ما پلاستیک و مواد بسته‌بندی داریم که ممکن است برای نیازهای شما مناسب باشد. چطور می‌توانیم کار را شروع کنیم؟ می‌خواهید چند نمونه ارسال کنیم یا در مورد آن صحبت کنیم؟,SUPPLIER
212,تبریک! شما یک سفر رایگان به باهاما برنده شده‌اید! فقط روی لینک کلیک کنید تا جایزه خود را دریافت کنید. منتظر نمانید - این پیشنهاد برای همیشه ادامه نخواهد داشت. همین حالا انجامش دهید و برای آفتاب گرفتن آماده شوید!,SPAM
213,سلام! من رمز عبورم را فراموش کرده‌ام و نمی‌توانم وارد حساب کاربری‌ام شوم. می‌توانید مراحل بازنشانی آن را برای من ارسال کنید؟ از کمکتان سپاسگزارم. خیلی ممنون!,SUPPORT
214,"سلام! می‌خوام برای تیمم یه دوره آموزشی برگزار کنم. می‌تونید بگید چه پیشنهادی دارید, هزینه‌اش چقدره و کی می‌تونید انجامش بدید؟ می‌خوام زودتر برنامه‌ریزی کنیم. موفق باشید!",INQUIRY
215,"سلام! من فروشنده‌ای هستم که علاقه‌مند به شرکت در مناقصه پروژه بعدی شما هستم. می‌توانید اطلاعات - اسناد مناقصه, مهلت‌ها و آنچه به دنبال آن هستید - را برای من ارسال کنید؟ دوست دارم در آن شرکت کنم.",SUPPLIER
216,"هی! شما همین الان مقداری پول نقد رایگان برنده شدید! برای دریافت جایزه خود سریع اینجا کلیک کنید. بدون هیچ قید و شرطی, فقط جایزه. هر چه سریعتر پاسخ دهید, این پیشنهاد فقط برای مدت محدودی معتبر است!",SPAM
217,"هی! من دارم سعی می‌کنم اطلاعات صورتحسابم رو توی وب‌سایت شما به‌روزرسانی کنم, اما همش با خطا مواجه می‌شم. می‌تونید کمکم کنید این مشکل رو حل کنم یا اطلاعاتم رو دستی به‌روزرسانی کنم؟ خیلی ممنون!",SUPPORT
218,"سلام! میشه یه اطلاع رسانی در مورد سفارش اخیرم بکنید؟ قرار بود هفته پیش برسه, اما هنوز ندیدمش. میشه چک کنید و اطلاعات پیگیری رو برام بفرستید؟ ممنون!",INQUIRY
219,"سلام! من دوباره در دسترسی به حساب کاربری‌ام مشکل دارم. همان مشکل قبلی, خیلی آزاردهنده است. می‌توانید کمکم کنید سریع این مشکل را حل کنم؟ خیلی ممنون!",SUPPORT
220,"سلام! من می‌خواهم تعدادی از محصولات شما را برای فروشگاهم بخرم, اما به اطلاعاتی در مورد تخفیف‌ها و زمان تحویل نیاز دارم. همچنین, چگونه می‌توانم یک سفارش بزرگ ثبت کنم؟ جزئیات را برای من ارسال کنید!",INQUIRY
221,"سلام, دارم بررسی می‌کنم که آیا شرکت شما می‌تواند برخی از مواد اولیه مانند فولاد و آلومینیوم را برای کسب و کار تولیدی من تأمین کند یا خیر. در صورت امکان, مراحل تبدیل شدن به فروشنده و ارسال نمونه‌ها را برای من ارسال کنید.",SUPPLIER
222,وای! شما برنده خوش شانس یک آیفون رایگان هستید! فقط اینجا کلیک کنید تا همین الان آن را دریافت کنید. قسم می‌خورم کلاهبرداری نیست. عجله کنید! این یک چیز با مدت زمان محدود است.,SPAM
223,سلام! من باید رمز عبور سایت شما را تغییر دهم اما مراحل آن را فراموش کرده‌ام. می‌توانید برای من ایمیلی بفرستید که چگونه این کار را انجام دهم؟ از کمکتان متشکرم. با آرزوی موفقیت!,SUPPORT
224,"۳۶. ""هی! ما علاقه‌مندیم که برای تیممان با شما آموزش ببینیم. چه برنامه‌هایی دارید",INQUIRY
225,"سلام! من می‌خواهم برای پروژه آینده شما پیشنهاد قیمت بدهم. می‌توانید بسته پیشنهاد قیمت, مهلت و آنچه را که به دنبال آن هستید برای من ارسال کنید؟ دوست دارم در آن شرکت کنم. متشکرم!",SUPPLIER
226,"هی! شما همین الان مقداری پول نقد رایگان برنده شدید! همین حالا کلیک کنید تا برنده شوید. هیچ جایزه‌ای در کار نیست, فقط پول فوری. قبل از اینکه زمان تمام شود, انجامش دهید!",SPAM
227,سلام! من دارم سعی می‌کنم اطلاعات صورتحسابم را تغییر دهم اما مدام خطا دریافت می‌کنم. می‌توانید به من کمک کنید تا آن را به صورت دستی به‌روزرسانی کنم یا به من بگویید چه کار کنم؟ خیلی ممنون!,SUPPORT
228,سلام! همین الان داشتم آخرین سفارشم رو چک می‌کردم. قرار بود هفته پیش ارسال بشه اما هنوز نرسیده. می‌تونید یه به‌روزرسانی یا اطلاعات پیگیری بهم بدید؟ خیلی ممنون!,INQUIRY
229,"هی!! من سعی کردم وارد حساب کاربریم بشم اما همش میگه خطا 😡 میشه لطفا کمکم کنید سریع درستش کنم؟؟ خیلی ممنون! مرسی, جان دو",SUPPORT
230,"سلام! من می‌خواهم تعداد زیادی از محصولات شما را برای فروشگاهم بخرم, اما به جزئیاتی در مورد تخفیف‌ها, زمان تحویل و نحوه سفارش مقادیر زیاد نیاز دارم؟؟ لطفا اطلاعات را برای من ارسال کنید! :) با احترام, مایک",INQUIRY
231,"سلام, من دنبال موادی مثل فولاد و آلومینیوم برای ساخت چیزهایی هستم. میشه بهم بگید چطور میتونم فروشنده شما بشم؟ اگه میشه نمونه برام بفرستید. ممنون! با آرزوی موفقیت, سارا.",SUPPLIER
232,"وای خدای من!!! شما یک آیفون رایگان برنده شدید!!! 😱 همین حالا اینجا کلیک کنید تا آن را دریافت کنید!! پیشنهاد محدود, از دست ندهید!!! 🎉🎉 ممنون, ادمین",SPAM
233,"هی! دوباره رمز عبورم رو فراموش کردم 🙄 میشه لطفا مراحل ریست کردنش رو برام ایمیل کنی؟ خیلی فوری باید وصل بشم. مرسی! برات آرزوی موفقیت دارم, امیلی.",SUPPORT
234,"هی! ما می‌خوایم برای تیممون یه سری تمرین انجام بدیم. برنامه‌ها, هزینه‌ها, و تاریخ‌های موجود چیه؟؟ سریع بهم خبر بده!! روحت شاد, دیو.",INQUIRY
235,"سلام! علاقه‌مند به شرکت در مناقصه پروژه شما هستم, لطفاً اسناد مناقصه, مهلت و آنچه را که به دنبال آن هستید, ارسال کنید. هر چه سریعتر به آن نیاز دارم!! متشکرم! با احترام, لیزا.",SUPPLIER
236,"هی! تو همین الان یه عالمه پول نقد رایگان برنده شدی 💰🔥 همین الان کلیک کن تا جایزه‌ات رو بگیری 😎⏳!! عجله کن قبل از اینکه تموم بشه! دمت گرم, تام",SPAM
237,"هی!! من برای به‌روزرسانی اطلاعات صورتحسابم به کمک نیاز دارم, مدام خطا می‌دهد 🙄 لطفا آن را درست کنید یا دستی انجام دهید!! خیلی ممنون! 😊 با احترام, آلیس.",SUPPORT
238,"سلام!! فقط می‌خوام آخرین سفارشم رو ببینم, قرار بود هفته پیش برسه اینجا اما خبری نیست. می‌تونی اطلاعات رهگیری رو برام بفرستی لطفا؟ خیلی ممنون!! به سلامتی, سم",INQUIRY
239,"هی!! دوباره سعی کردم وارد سیستم بشم اما هی میگه خطا 😡 لطفا کمکم کنید هر چه زودتر درستش کنم!! خیلی ممنون!! آفرین, مارک",SUPPORT
240,"سلام! من می‌خواهم تعداد زیادی از محصولات شما را از فروشگاه خودم بخرم, اما می‌خواهم در مورد تخفیف‌ها, ارسال و نحوه ثبت سفارش‌های بزرگ بدانم, لطفاً جزئیات را ارسال کنید!! شاد باشی, لیلی 😊",INQUIRY
241,"هی! ما یکSUPPLIER جدید هستیم و پلاستیک و مواد بسته‌بندی مورد نیاز شما را داریم. چطور شروع کنیم؟ لطفا نمونه ارسال کنید! ممنون!! با احترام, کوین.",SUPPLIER
242,"وای خدای من!!!!! تو یه سفر رایگان به هاوایی برنده شدی!!! 🌺🌴 همین الان اینجا کلیک کن تا جایزه‌ات رو بگیری!! عجله کن, تموم شد!! 🎉🎉 ممنون, ادمین",SPAM
243,"هی! دوباره رمز عبورم رو فراموش کردم 🙄 میشه لطفا دستورالعمل ریست کردنش رو برام بفرستی؟؟ واقعا به حساب کاربریم نیاز دارم! ممنون!! با احترام, جسیکا.",SUPPORT
244,"سلام! می‌خوام با شماها تمرین تیمی انجام بدم. می‌تونید بگید چه دوره‌هایی رو گذروندید, چقدر هزینه داشت و کی می‌تونید انجامش بدید؟ باید هر چه زودتر وقت بگیرم!! ممنون!! دمت گرم, تام.",INQUIRY
245,"سلام! من می‌خواهم برای پروژه بزرگ بعدی شما پیشنهاد قیمت بدهم. لطفاً بسته پیشنهادی, مهلت و تمام جزئیات را برای من ارسال کنید. فوری!! متشکرم, آلیس.",SUPPLIER
246,"هی! تو ۱ میلیون پول نقد رایگان داری!! 💵🔥 فقط روی این لینک کلیک کن تا پولت رو دریافت کنی!! شوخی نیست!! عجله کن👌!! به سلامتی, راب",SPAM
247,"هی!! من برای اطلاعات صورتحسابم به کمک نیاز دارم. وقتی سعی می‌کنم آن را به‌روزرسانی کنم, مدام خطا می‌دهد 😕 لطفا آن را درست کنید یا دستی انجام دهید!! خیلی ممنون!!! با احترام, دنیل.",SUPPORT
248,"سلام!! دارم سفارشم رو چک می‌کنم. قرار بود هفته پیش برسه اما خبری نیست. می‌تونی اطلاعات رهگیری رو برام بفرستی؟ هر چه زودتر لازمش دارم!! خیلی ممنون! مرسی, کیت.",INQUIRY
249,"هی! چند روز گذشته و هنوز هیچ به‌روزرسانی در مورد مشکل من ارائه نشده 😤 لطفا هر چه سریع‌تر این مشکل را حل کنید!! من الان به کمک نیاز دارم!! ممنون, مایک جانسون",SUPPORT
250,"سلام! من می‌خواهم تعداد زیادی از اجناس شما را بخرم, اما می‌خواهم در مورد تخفیف‌ها و زمان ارسال بدانم؟ همچنین چگونه می‌توانم سفارش‌های بزرگ ثبت کنم. لطفا سریع پاسخ دهید!!! با آرزوی موفقیت, لیزا.",INQUIRY
251,"هی, من می‌خواهمSUPPLIER جدید شما باشم! من پلاستیک و چیزهای خوب دارم. چگونه می‌توانم فروشنده شما شوم؟ جزئیات و شاید چند نمونه برای من ارسال کنید؟ متشکرم! با احترام, دیو.",SUPPLIER
252,"وای!!! شما یک تلویزیون رایگان برنده شدید!!! 📺✨😍 همین حالا کلیک کنید تا جایزه خود را دریافت کنید!!! فقط برای مدت محدود!! ممنون, ادمین",SPAM
253,"سلام بچه‌ها! دوباره رمز عبورم رو فراموش کردم 🙄 میشه لطفا دوباره برام دستورالعمل بفرستید؟ الان باید برم 😅. خیلی ممنون! بهترین‌ها رو برات آرزو می‌کنم, سوفی.",SUPPORT
254,"۵۶ ""هی! من می‌خواهم برای تیمم تمرین کنم. چه کلاس‌هایی داری",INQUIRY
255,"سلام! من به دنبال شرکت در یکی از پروژه‌های شما هستم. لطفا مدارک مناقصه و مهلت را ارسال کنید. خیلی سریع باید بدانم!! خیلی ممنون! با احترام, اولیویا.",SUPPLIER
256,"هی! شما همین الان $$ رایگان برنده شدید! 💸🎉 همین حالا اینجا کلیک کنید تا پولتان را دریافت کنید!!! سریع عمل کنید وگرنه از دستتان می‌رود! ممنون, ادمین",SPAM
257,"۵۹. ""هی!! من مدام سعی می‌کنم اطلاعات صورتحسابم را به‌روزرسانی کنم",SUPPORT
258,"سلام! دارم سفارشم رو چک می‌کنم. قرار بود هفته پیش برسه اما هنوز نرسیده 😕. لطفا اطلاعات به‌روزرسانی یا پیگیری رو بهم بدید!! ممنون! با احترام, اما.",INQUIRY
259,"هی!! من سعی کردم وارد سیستم بشم اما دوباره میگه رمز عبور اشتباهه 😒 میشه کمکم کنی درستش کنم لطفا؟ باید زود وارد بشم. ممنون! مرسی, مارک.",SUPPORT
260,"سلام! من می‌خواهم تعداد زیادی از محصولات شما را بخرم, اما می‌خواهم در مورد تخفیف‌ها, زمان ارسال و نحوه سفارش‌های بزرگ بدانم؟ لطفا اطلاعات را زودتر ارسال کنید! :) با احترام, لیلی.",INQUIRY
261,"سلام, من دنبال لوازمی مثل فولاد یا آلومینیوم هستم. میشه بهم بگی چطور میتونم فروشنده‌ی ما بشم و اگه میشه نمونه بفرستم؟ ممنون! برات آرزوی موفقیت می‌کنم, کوین."" ""SUPPLIER",
262,"وای! شما همین الان یک سفر رایگان به باهاما برنده شدید! 🌴✈️ همین حالا اینجا کلیک کنید تا جایزه خود را دریافت کنید 🚀 فقط برای مدت محدود! ممنون, ادمین",SPAM
263,"هی! دوباره رمز عبورم را فراموش کردم 🙄 میشه لطفا مراحل بازنشانی را برای من ایمیل کنی؟ باید سریع وارد حسابم بشم! خیلی ممنون! موفق باشی, ریچل.",SUPPORT
264,"هی! ما می‌خواهیم برای خدمه‌مان آموزش کارگاهی برگزار کنیم. چه نوع دوره‌هایی, با چه قیمتی و چه برنامه‌ای؟ سریع به من زنگ بزن! خیلی ممنون! موفق باشی, جیسون.""INQUIRY
۵۷, ""سلام! علاقه‌مند به شرکت در مناقصه پروژه شما هستم. لطفاً اسناد مناقصه, مهلت و نوع پیشنهادهای مورد نظر خود را ارسال کنید. باید زودتر شروع کنیم! 😊 ممنون, اولیویا.",SUPPLIER
265,"هی!! شما همین الان پول رایگان برنده شدید 💸✨ همین حالا کلیک کنید تا جایزه نقدی خود را دریافت کنید 🎉🏆!! از دست ندهید! عجله کنید! دمت گرم, دیو",SPAM
266,"هی!! من برای اطلاعات صورتحسابم به کمکت نیاز دارم. وقتی سعی می‌کنم به‌روزرسانیش کنم, مدام خطا می‌ده 🙄 می‌تونی دستی انجامش بدی؟ خیلی ممنون! برات آرزوی موفقیت می‌کنم, آنا.",SUPPORT
267,"سلام!! دارم آخرین سفارشم رو چک می‌کنم, قرار بود هفته پیش برسه اما هنوز نرسیده 😕. می‌تونی اطلاعات رهگیری رو برام بفرستی؟ خیلی ممنون! به سلامتی مایک.",INQUIRY
268,"هی!!! 🎉 دنبال پیشنهادهای شگفت‌انگیز هستید؟ همین حالا ۵۰٪ تخفیف روی همه محصولات بگیرید! پیشنهاد ویژه با مدت محدود! برای خرید لوازم الکترونیکی, مد و موارد دیگر ارزان اینجا کلیک کنید! از دست ندهید! 🔥🔥 با آرزوی موفقیت, DiscountKing",SPAM
269,"هشدار حراج بزرگ! 🛍️ با خرید ۱ عدد, ۲ عدد رایگان از بین اقلام منتخب دریافت کنید! امروز خرید کنید و کلی صرفه‌جویی کنید! بدون هیچ سوالی! عجله کنید قبل از اینکه موجودی تمام شود! ✨✨ با احترام, CheapDeals",SPAM
270,"تبریک! 🎉 شما واجد شرایط دریافت نسخه آزمایشی رایگان از خدمات پریمیوم ما هستید! فقط روی لینک کلیک کنید و در عرض چند ثانیه ثبت نام کنید! برای مزایای ویژه سریع اقدام کنید! 🚀 با آرزوی موفقیت, تیم FreeTrial",SPAM
